Date,Blind,CID,Name
10/22/2022,1,987-654-321,Steve Brown
10/22/2022,2,321-987-000,John Smith
10/22/2022,3,,
10/22/2022,4,,
10/22/2022,5,,
10/23/2022,1,000-123-456,Bob Jones
10/23/2022,2,321-987-000,John Smith
10/23/2022,3,,
10/23/2022,4,,
10/23/2022,5,,
10/24/2022,1,000-123-456,Bob Jones
10/24/2022,2,987-654-321,Steve Brown
10/24/2022,3,321-987-000,John Smith
10/24/2022,4,,
10/24/2022,5,,
10/25/2022,1,987-654-321,Steve Brown
10/25/2022,2,000-123-456,Bob Jones
10/25/2022,3,321-987-000,John Smith
10/25/2022,4,,
10/25/2022,5,,
10/26/2022,1,,
10/26/2022,2,,
10/26/2022,3,,
10/26/2022,4,,
10/26/2022,5,,
10/27/2022,1,987-654-321,Steve Brown
10/27/2022,2,000-123-456,Bob Jones
10/27/2022,3,321-987-000,John Smith
10/27/2022,4,,
10/27/2022,5,,
10/28/2022,1,987-654-321,Steve Brown
10/28/2022,2,000-123-456,Bob Jones
10/28/2022,3,,
10/28/2022,4,,
10/28/2022,5,,
10/29/2022,1,321-987-000,John Smith
10/29/2022,2,,
10/29/2022,3,,
10/29/2022,4,,
10/29/2022,5,,
11/19/2022,1,000-123-456,Bob Jones
11/19/2022,2,,
11/19/2022,3,,
11/19/2022,4,,
11/19/2022,5,,
11/20/2022,1,987-654-321,Steve Brown
11/20/2022,2,,
11/20/2022,3,,
11/20/2022,4,,
11/20/2022,5,,
11/21/2022,1,987-654-321,Steve Brown
11/21/2022,2,000-123-456,Bob Jones
11/21/2022,3,321-987-000,John Smith
11/21/2022,4,,
11/21/2022,5,,
